업종명,평균영업기간(년),행정동명,점포수,1년 생존율(%),3년 생존율(%),5년 생존율(%),평균 개업수,평균 폐업수,2022_평균매출,2023_평균매출,2024_평균매출,업종_추천점수
슈퍼마켓,7.79,남영동,28.0,50.0,0.0,75.0,0.46,0.85,212971953.65,235380992.6,179288207.64,0.6675444088447282
반찬가게,7.61,남영동,14.5,100.0,100.0,100.0,0.46,0.31,36620064.65,55009453.07,189039403.85,0.5389520262041492
한식음식점,5.09,남영동,226.75,94.0,71.25,48.02,6.08,5.38,34263753.71,39190281.24,36721078.21,0.4055290371763945
운동/경기용품,7.57,남영동,4.0,,100.0,100.0,0.08,0.08,54908621.14,77519670.13,78426022.38,0.38150369260438577
일반의원,7.93,남영동,23.5,,100.0,81.25,0.15,0.08,72066839.29,71213285.7,75014867.83,0.38076778225688235
육류판매,5.49,남영동,2.0,,0.0,100.0,0.15,0.15,92093199.69,81879489.31,78103787.69,0.33276595066896975
골프연습장,5.81,남영동,2.0,,,100.0,0.0,0.08,90337301.61,88150793.64,69530114.88,0.3265863860373411
피부관리실,3.79,남영동,11.5,100.0,100.0,100.0,0.15,0.0,30063365.41,22251267.25,15209492.62,0.29505235773254296
일반교습학원,5.52,남영동,18.25,100.0,70.85,100.0,0.54,0.31,23942191.24,16194647.02,13663581.63,0.27414410386745214
호프-간이주점,4.33,남영동,51.0,78.3,76.75,58.85,1.77,1.92,29476683.68,27120671.65,26213164.0,0.2668400711479938
문구,6.35,남영동,5.75,100.0,,0.0,0.15,0.15,150829523.43,49679721.56,41107427.7,0.26291679014479613
여관,7.8,남영동,30.5,100.0,75.0,47.5,0.85,1.0,18685261.98,18051304.31,18892826.52,0.24021205767053108
예술학원,4.81,남영동,12.25,50.0,100.0,100.0,0.23,0.15,7425756.85,7320645.35,7762333.94,0.23766367986624704
의약품,11.55,남영동,15.0,100.0,100.0,,0.15,0.0,28610329.78,26513901.31,27198477.23,0.23694771951651608
컴퓨터및주변장치판매,5.51,남영동,14.5,50.0,100.0,87.5,0.38,0.23,6414342.81,7368522.8,6027466.95,0.22647373728055487
분식전문점,5.45,남영동,40.0,70.5,38.4,70.82,1.85,1.23,15749496.92,18179892.43,16137857.9,0.22199588933494993
커피-음료,4.19,남영동,90.25,91.2,64.7,21.78,4.0,2.46,9824837.04,12036286.5,10825729.09,0.2213375359706439
일식음식점,4.17,남영동,34.75,94.95,37.5,48.95,1.0,0.77,37654312.36,21654800.82,16732690.28,0.22081756234935598
중식음식점,5.52,남영동,23.0,90.82,25.0,84.28,0.23,0.46,14499533.28,16925153.55,16291017.1,0.21866132999928872
제과점,4.93,남영동,23.5,100.0,88.75,63.32,1.0,0.62,3717071.2,3404674.01,3906941.46,0.2175595200101908
노래방,6.01,남영동,12.0,100.0,100.0,27.08,0.38,0.54,9998961.31,14601867.18,23818731.59,0.21706790032692738
양식음식점,4.52,남영동,36.0,83.02,83.92,32.5,1.54,0.77,26922137.58,17235685.34,8089714.94,0.21553027273376385
치과의원,9.35,남영동,14.0,,100.0,50.0,0.15,0.23,19734950.11,20200320.29,22873423.89,0.21204891988730298
한의원,16.25,남영동,4.0,,,,0.0,0.0,60535435.5,68160029.61,54915055.11,0.20778078628588148
스포츠 강습,5.14,남영동,19.0,75.42,58.75,0.0,0.92,0.54,25891480.57,23599778.46,45264564.4,0.19701359222406484
일반의류,5.25,남영동,75.0,81.25,64.2,33.08,2.92,4.23,9859851.63,8953158.55,7317249.69,0.19389397635177819
핸드폰,5.47,남영동,14.75,100.0,100.0,,0.23,0.23,16433109.85,11455423.32,14582709.79,0.1829952715135052
전자상거래업,5.0,남영동,26.25,62.92,43.75,70.85,0.85,0.46,5726308.8,4989855.96,1509590.7,0.1770541180956617
당구장,7.52,남영동,10.0,,100.0,58.35,0.23,0.38,3886372.25,6302958.75,6922489.57,0.1718420444357827
미용실,5.0,남영동,24.75,100.0,45.0,49.55,0.92,0.69,2477570.81,2663295.1,2506063.44,0.17011853381265174
청과상,3.75,남영동,6.75,0.0,33.33,100.0,0.31,0.15,10224458.7,12260346.82,10870908.72,0.16881918633659906
화장품,5.69,남영동,28.0,87.5,79.18,29.48,0.54,1.23,2186774.11,3457881.57,2754793.08,0.16611412875403908
신발,6.46,남영동,16.75,,70.85,49.58,0.54,0.62,8764540.0,9818307.81,9014286.87,0.15257654740744467
화초,5.36,남영동,9.75,100.0,66.67,,0.31,0.0,11456579.37,11125368.12,9724747.1,0.14886184359193455
인테리어,7.06,남영동,4.25,,100.0,,0.15,0.0,14430156.03,7630946.06,16749929.33,0.13041218978417263
수산물판매,5.5,남영동,2.0,100.0,,,0.0,0.0,24246760.93,22161214.92,20238698.73,0.1246665756185562
철물점,6.12,남영동,1.0,,0.0,,0.08,0.0,41240457.62,38209617.63,41080634.92,0.12422978089186576
세탁소,13.58,남영동,5.5,100.0,,,0.0,0.0,1764175.67,1845014.61,1581107.29,0.09930501770422773
